"ams" "pdf"
7550.433 0.000154642269711567
8651.166 0.000117765584990689
9380.397 9.33406205964961e-05
9071.717 0.000103377700612861
8354.173 0.000128159692079377
6161.421 0.000170527780685648
3544.866 2.77636664143863e-05
7120.425 0.000165513917257198
9298.242 9.59581061243758e-05
4710.178 0.000103421285516972
5380.688 0.000145317667468702
8499.548 0.000123066996435036
5617.157 0.000156011624908839
3742.097 3.7808086513221e-05
10274.362 6.78703210421545e-05
6186.083 0.000170853335852759
4552.435 9.20798127465615e-05
8006.946 0.000140143254028843
6790.353 0.000170872728246691
5455.554 0.000148978662405294
9361.352 9.39436873016158e-05
5709.204 0.00015946742554235
16825.49888 5.00789723424988e-06
5363.839 0.000144459876612251
12514.28 2.82532814190863e-05
7225.553 0.000163202752532002
12890.64 2.42739862374255e-05
8045.471 0.000138838408679289
18320.555 2.79830832979157e-06
7339.839 0.000160415133366504
7500.92 0.00015606542100079
11532.695 4.18156642982465e-05
6639.799 0.000172186064368232
6341.556 0.000172279119179583
6533.038 0.000172622478650322
5113.036 0.000130326486583241
3854.754 4.4283345872923e-05
5477.022 0.000149982281171861
7310.343 0.000161160143281715
4670.991 0.000100626037052284
10346.79 6.60642242605733e-05
9039.356 0.000104459733167728
6480.619 0.000172676431635955
8425.722 0.000125654190498816
10647.809 5.8974972602665e-05
7565.567 0.000154199994168006
5456.57 0.000149026629329571
8713.613 0.000115593076636878
9305.365 9.57295320374143e-05
5948.87 0.000166548208934179
7638.778 0.000152015488523764
8576.919 0.000120358190580951
4959.301 0.000120553356314615
12426.522 2.9268918540962e-05
6870.319 0.000169868029908526
7838.047 0.000145744442504979
6414.488 0.000172587367846412
13121.738 2.21092580728735e-05
9801.248 8.06319421593433e-05
8745.997 0.00011447011440418
